,neighbourhood,density,average_price,Success_metric
0,Bayswater,24,106.75,7.319887499999997
1,Allerton,45,118.77777777777777,8.791902222222223
2,City Island,15,168.6,4.888566666666667
3,Ditmars Steinway,253,122.31620553359684,6.305549011857706
4,Ozone Park,88,117.63636363636364,7.44652840909091
5,Fordham,63,87.17460317460318,4.076053968253968
6,Whitestone,13,171.3846153846154,11.615792307692308
7,Arden Heights,7,113.85714285714286,8.062614285714286
8,Arrochar,17,132.05882352941177,10.29964705882353
9,Arverne,110,230.26363636363635,8.157521818181818
10,Bay Ridge,147,121.55102040816327,5.34095646258503
11,Belmont,30,113.73333333333333,5.692523333333333
12,Gerritsen Beach,5,225.8,9.89592
13,Port Ivory,15,126.06666666666666,11.075346666666666
14,Soundview,15,93.2,7.406833333333334
15,Astoria,686,109.00874635568513,5.440275947521868
16,Bath Beach,26,117.1923076923077,10.323353846153848
17,Bayside,71,182.70422535211267,5.707669014084508
18,Battery Park City,87,230.89655172413794,3.749622988505747
19,Bay Terrace,4,151.25,8.102125
"20,""Bay Terrace, Staten Island"",0,0.0,0.0"
21,Baychester,29,111.27586206896552,8.287010344827586
22,Bayswater,24,106.75,7.319887499999997
23,Bedford-Stuyvesant,2779,140.85390428211588,5.147367218423895
24,Belle Harbor,7,354.85714285714283,10.346185714285713
25,Bellerose,17,132.8235294117647,7.9419
26,Bensonhurst,72,96.73611111111111,3.870836111111111
27,Bergen Beach,18,281.1666666666667,7.473183333333334
28,Bloomfield,1,188.0,26.847400000000004
29,Boerum Hill,131,249.7175572519084,3.342179389312976
30,Borough Park,76,86.9342105263158,4.062042105263157
31,Brighton Beach,60,109.43333333333334,4.02161
32,Prospect-Lefferts Gardens,430,118.73720930232558,4.348164883720932
33,Mott Haven,92,136.9673913043478,7.442047826086959
34,Bronxdale,19,82.10526315789474,3.770463157894737
35,Breezy Point,4,173.0,9.782725
36,Briarwood,36,390.8611111111111,6.81356111111111
37,Brooklyn Heights,92,243.95652173913044,3.5529576086956527
38,Brownsville,108,149.7685185185185,6.472266666666666
39,Bull's Head,1,60.0,4.4590000000000005
40,Bushwick,1657,114.3536511768256,4.2548480386240195
41,Cambria Heights,75,137.44,8.051234666666666
"42,""Chelsea, Staten Island"",2,90.0,8.175"
43,Chinatown,237,240.1012658227848,5.174384388185656
44,City Island,15,168.6,4.888566666666667
45,Cypress Hills,168,112.875,7.502463690476188
46,Canarsie,211,166.14691943127963,8.36255023696682
47,Carroll Gardens,179,228.87150837988827,3.6480843575419004
48,Castle Hill,4,110.75,13.088350000000002
49,Castleton Corners,7,115.85714285714286,3.506357142857143
50,Grant City,14,60.142857142857146,3.101242857142857
51,Charleston,0,0.0,0.0
52,Chelsea,901,275.72475027746947,5.238312097669251
53,Civic Center,30,237.56666666666666,1.4480899999999999
54,Claremont Village,45,106.82222222222222,3.1966466666666657
55,Clason Point,39,110.66666666666667,4.467502564102564
56,Clifton,11,165.72727272727272,5.297963636363637
57,Clinton Hill,367,198.49863760217983,3.84371280653951
58,Co-op City,2,110.0,1.6099999999999999
59,Cobble Hill,69,250.7391304347826,3.9834289855072464
60,College Point,36,114.75,7.680941666666666
61,Crown Heights,1197,143.15538847117796,4.789469590643276
62,Columbia St,27,200.74074074074073,5.506266666666668
63,Concord,8,113.125,3.76445
64,Concourse,52,109.5576923076923,6.326403846153846
65,Concourse Village,37,86.67567567567568,4.309502702702702
66,Coney Island,22,131.6818181818182,5.834631818181818
67,Corona,72,100.26388888888889,7.15187638888889
68,Mount Eden,12,99.0,11.055375
69,Jamaica Hills,15,123.2,3.8424933333333327
70,Country Club,1,98.0,9.6432
71,Mount Hope,31,113.70967741935483,5.506825806451613
72,DUMBO,26,281.0769230769231,3.708746153846154
73,Dongan Hills,6,155.16666666666666,8.425916666666666
74,Douglaston,7,89.85714285714286,3.914314285714286
75,Downtown Brooklyn,59,248.22033898305085,4.030888135593221
76,Dyker Heights,17,105.23529411764706,5.913741176470588
77,Glen Oaks,0,0.0,0.0
78,East Elmhurst,234,140.9188034188034,14.49315341880341
79,East Flatbush,530,132.93018867924528,6.493489433962258
80,East Harlem,768,192.99609375,4.174723958333332
81,East Morrisania,9,107.55555555555556,1.2509333333333332
82,Eltingville,5,210.8,2.3522
83,Emerson Hill,4,111.75,1.8168250000000001
84,Elmhurst,248,93.10887096774194,4.1298963709677405
85,Fieldston,10,88.7,4.93917
86,East New York,326,121.00306748466258,7.29017116564417
87,East Village,1057,221.95837275307474,3.0009142857142863
88,Eastchester,24,134.20833333333334,9.029129166666666
89,Edenwald,30,105.2,4.632803333333333
90,Edgemere,14,179.92857142857142,6.18347142857143
91,Glendale,56,131.16071428571428,4.9686642857142855
92,Far Rockaway,56,230.82142857142858,4.548962500000002
93,Jamaica Estates,38,149.1315789473684,4.870555263157894
94,Financial District,482,347.60641078838177,6.911262655601658
95,Flatbush,488,150.73975409836066,4.5807702868852465
96,Flatiron District,98,407.53061224489795,4.611195918367348
97,Flatlands,101,144.5049504950495,6.587159405940593
98,Laurelton,70,115.0,9.474200000000002
99,Shore Acres,9,126.77777777777777,1.9294888888888886
100,Flushing,485,105.47216494845361,5.655898556701032
101,Gowanus,166,239.25903614457832,5.088873493975904
102,Forest Hills,130,179.52307692307693,5.695960769230768
103,Fort Greene,322,194.04658385093168,3.590273913043479
104,Fort Hamilton,36,106.11111111111111,4.614977777777778
105,Fort Wadsworth,1,650.0,0.0
106,Fresh Meadows,32,137.3125,4.4319
107,Gramercy,227,259.6299559471366,2.930980616740088
108,Graniteville,4,83.75,11.65665
109,Gravesend,68,127.23529411764706,5.404450000000001
110,Kensington,117,151.76068376068375,3.278449572649573
111,Kew Gardens,50,116.46,4.835314
112,Parkchester,46,114.54347826086956,7.265854347826086
113,Pelham Bay,14,132.07142857142858,9.335914285714285
114,Great Kills,4,129.75,4.01675
115,Huguenot,4,111.75,11.887125
116,Greenpoint,708,198.15112994350284,2.931016949152544
117,Greenwich Village,206,338.06310679611653,2.061005825242718
118,Grymes Hill,7,167.57142857142858,7.7060571428571425
119,Harlem,1878,164.73908413205538,4.291160436634713
120,Queens Village,104,144.06730769230768,8.205177884615383
121,Hell's Kitchen,1578,280.12610899873255,4.4495711660329595
122,Highbridge,24,94.875,5.621291666666667
123,Hollis,29,80.93103448275862,3.9256793103448278
124,Hollis Hills,1,497.0,5.0
125,Holliswood,3,89.66666666666667,1.6721000000000001
126,Howard Beach,33,134.78787878787878,10.248654545454546
127,Howard Beach,33,134.78787878787878,10.248654545454546
128,Howland Hook,21,131.47619047619048,8.570657142857142
129,Pelham Gardens,32,99.90625,7.293656250000001
130,Hunts Point,30,88.83333333333333,3.11667
131,Inwood,186,92.93010752688173,3.6932021505376347
132,Jackson Heights,207,93.3719806763285,5.574601932367148
133,Jamaica,312,133.65384615384616,10.519872756410267
134,Morris Park,27,106.74074074074075,5.626996296296296
135,Kew Gardens Hills,35,152.74285714285713,5.522402857142858
136,Kingsbridge,75,97.78666666666666,4.073119999999999
137,Kips Bay,408,245.4607843137255,2.0743370098039215
138,Lighthouse Hill,2,169.0,3.24395
139,Little Italy,102,206.85294117647058,3.108336274509804
140,Little Neck,7,136.0,9.588942857142857
141,Morrisania,19,105.89473684210526,9.476721052631579
142,Murray Hill,371,306.65498652291103,1.5361269541778972
143,Long Island City,477,211.8574423480084,6.587037106918238
144,Longwood,67,265.2686567164179,4.848020895522389
145,Lower East Side,797,304.57841907151817,5.226031367628604
146,Manhattan Beach,9,193.55555555555554,5.506166666666667
147,Marble Hill,9,131.22222222222223,6.047577777777779
148,Midtown,1701,381.69782480893593,3.737472369194591
149,Midwood,103,92.18446601941747,3.675315533980582
150,Norwood,27,108.74074074074075,3.5106444444444445
151,Oakwood,7,159.0,3.4535142857142853
152,Morris Heights,21,117.38095238095238,6.368138095238095
153,Pleasant Plains,0,0.0,0.0
154,Mariners Harbor,22,76.81818181818181,7.046690909090909
155,Maspeth,102,124.8921568627451,6.650695098039216
156,Melrose,16,98.9375,6.697043749999999
157,Middle Village,36,136.44444444444446,5.353919444444444
158,Midland Beach,8,151.0,7.867925
159,Mill Basin,14,143.5,10.334542857142855
160,Morningside Heights,188,134.09574468085106,2.201359574468085
161,Olinville,12,140.5,7.4584416666666655
162,Navy Yard,7,359.0,0.8394571428571428
163,Neponsit,2,268.5,3.0050999999999997
164,New Brighton,10,198.3,10.66107
165,New Dorp,1,40.0,0.0
166,New Dorp Beach,6,120.0,12.085133333333332
167,New Springville,3,171.0,4.732500000000001
168,NoHo,40,304.95,2.7333549999999995
169,Nolita,223,273.7219730941704,4.387095067264574
170,North Riverdale,38,89.6842105263158,6.4995157894736835
171,Park Slope,324,216.50925925925927,4.3978333333333355
172,Port Morris,39,128.74358974358975,7.016079487179488
173,Port Richmond,20,342.3,6.426609999999999
174,Prince's Bay,6,206.16666666666666,5.3516
175,Prospect Heights,217,186.4147465437788,3.1604626728110596
176,Randall Manor,40,126.0,6.863110000000001
177,Riverdale,9,317.1111111111111,1.908533333333333
178,Silver Lake,3,122.33333333333333,11.186866666666667
179,SoHo,242,450.56611570247935,4.690273140495867
180,Woodrow,1,115.0,22.151699999999998
181,Red Hook,59,256.7118644067797,4.919501694915254
182,Rego Park,93,107.58064516129032,3.3727483870967747
183,Richmond Hill,118,109.80508474576271,6.595294915254237
184,Richmondtown,3,118.33333333333333,4.098733333333334
185,Ridgewood,315,106.46666666666667,4.386802857142856
186,Sea Gate,15,108.4,2.5606000000000004
187,Rockaway Beach,72,180.125,10.787104166666667
188,Roosevelt Island,47,133.7872340425532,2.7312063829787236
189,Rosebank,7,109.28571428571429,6.323828571428572
190,Rosedale,147,127.23809523809524,8.150919047619054
191,Rossville,0,0.0,0.0
192,Schuylerville,19,183.0,8.139473684210525
193,Sheepshead Bay,172,209.65116279069767,4.609616860465117
194,South Beach,2,107.5,11.04425
195,South Ozone Park,72,146.25,10.59268888888889
196,South Slope,190,171.55263157894737,3.6927868421052636
197,Springfield Gardens,137,133.79562043795622,10.080809489051093
198,Spuyten Duyvil,5,198.8,1.69908
199,St. Albans,113,131.39823008849558,8.994671681415928
200,Tompkinsville,37,179.67567567567568,7.508732432432433
201,St. George,45,111.6,7.614084444444443
202,Stapleton,19,156.10526315789474,8.71132105263158
203,Stuyvesant Town,59,185.72881355932202,1.3785966101694918
204,Sunnyside,284,103.91549295774648,3.2038355633802817
205,Van Nest,27,161.74074074074073,12.473055555555558
206,Sunset Park,297,123.86531986531986,6.731389898989903
207,Theater District,322,471.72049689440996,7.135166459627326
208,Throgs Neck,31,132.61290322580646,7.077822580645161
209,Todt Hill,4,179.0,13.785525000000002
210,Tottenville,8,286.0,5.9235750000000005
211,Tremont,25,111.04,6.652924000000001
212,Tribeca,246,533.9837398373984,1.2756731707317075
213,Two Bridges,44,146.9318181818182,4.448925
214,Vinegar Hill,30,224.8,4.252506666666667
215,Woodside,336,84.72321428571429,2.8828529761904753
216,Unionport,13,152.30769230769232,4.601061538461538
217,University Heights,13,93.46153846153847,9.799792307692307
218,Upper East Side,1379,243.427121102248,2.266674981870921
219,Upper West Side,1630,231.74233128834356,3.16303760736196
220,Windsor Terrace,114,175.40350877192984,4.961107017543858
221,Wakefield,192,140.421875,8.722298958333331
222,Washington Heights,587,117.27597955706985,3.4690027257240206
223,West Brighton,27,76.18518518518519,5.483185185185185
224,West Farms,6,79.33333333333333,2.40465
225,Woodhaven,85,94.52941176470588,8.449371764705884
226,Woodlawn,7,141.0,9.90352857142857
227,West Village,572,319.791958041958,2.6480251748251766
228,Westchester Square,7,85.14285714285714,5.667642857142858
229,Westerleigh,1,104.0,20.9466
230,Williamsbridge,70,118.97142857142858,6.496532857142857
231,Williamsburg,2456,183.21254071661238,3.3971427524429956
232,Willowbrook,1,329.0,3.5178
